OriginalName,CleanedName,Family,Class,Phylum,Kingdom,LookupStatus,TrophicLevel
Campanulariidae sp. BMBM-0904,Campanulariidae,Campanulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,NA
Carinoma sp. 5 TCH-2015,Carinoma,Carinomidae,Palaeonemertea,Nemertea,Animalia,exact_match,NA
Caulacanthus,Caulacanthus,Caulacanthaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Celleporella hyalina,Celleporella hyalina,Hippothoidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Cerebratulus sp. spade head,Cerebratulus,Lineidae,Pilidiophora,Nemertea,Animalia,exact_match,NA
Chaetoceros,Chaetoceros,Chaetocerotaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Chaetoceros diadema,Chaetoceros diadema,Chaetocerotaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Chaetoceros socialis,Chaetoceros socialis,Chaetocerotaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Chelophyes appendiculata,Chelophyes appendiculata,Diphyidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Chelyosoma productum,Chelyosoma productum,Corellidae,Ascidiacea,Chordata,Animalia,exact_match,Filter feeders
Chlamys,Chlamys,Pectinidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Chloroparvula pacifica,Chloroparvula pacifica,Chloropicaceae,Chloropicophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Chondracanthus,Chondracanthus,Chondracanthidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Chone,Chone,Sabellidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Chordariaceae,Chordariaceae,Chordariaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Cliona californiana,Cliona californiana,Clionaidae,Demospongiae,Porifera,Animalia,exact_match,Filter feeders
Clupea pallasii,Clupea pallasii,Clupeidae,Teleostei,Chordata,Animalia,exact_match,Forage species
Clytia gregaria,Clytia gregaria,Campanulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Cocconeiopsis,Cocconeiopsis,NA,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Compsomyax,Compsomyax,Veneridae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Compsomyax subdiaphana,Compsomyax subdiaphana,Veneridae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Coryne eximia,Coryne eximia,Corynidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Coscinodiscus granii,Coscinodiscus granii,Coscinodiscaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Crisularia pacifica,Crisularia pacifica,Bugulidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Cylindrotheca,Cylindrotheca,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Cylindrotheca closterium,Cylindrotheca closterium,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Cymbomonas,Cymbomonas,Pyramimonadaceae,Pyramimonadophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Cymbomonas tetramitiformis,Cymbomonas tetramitiformis,Pyramimonadaceae,Pyramimonadophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Devaleraea mollis,Devaleraea mollis,NA,NA,NA,NA,error: (204) No Content - Devalera...,NA
Dictyocha speculum,Dictyocha speculum,Dictyochaceae,Dictyochophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Dinophysis,Dinophysis,Dinophysaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Dinophysis norvegica,Dinophysis norvegica,Dinophysaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Diopatra,Diopatra,Onuphidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Diosaccus spinatus,Diosaccus spinatus,Miraciidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Ditylum brightwellii,Ditylum brightwellii,Lithodesmiaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Dorvilleidae,Dorvilleidae,Dorvilleidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Dumontiaceae,Dumontiaceae,Dumontiaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Durinskia baltica,Durinskia baltica,Kryptoperidiniaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Epilabidocera amphitrites,Epilabidocera amphitrites,Pontellidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Eucampia,Eucampia,Hemiaulaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Eucampia zodiacus,Eucampia zodiacus,Hemiaulaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Eumida,Eumida,Phyllodocidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Eumida longicornuta,Eumida longicornuta,Phyllodocidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Eupentacta pseudoquinquesemita,Eupentacta pseudoquinquesemita,Sclerodactylidae,Holothuroidea,Echinodermata,Animalia,exact_match,Benthic invertebrates
Florenciella,Florenciella,Epigonidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Fucus,Fucus,Fucaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Glycera americana,Glycera americana,Glyceridae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Glycera robusta,Glycera robusta,Glyceridae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Glyceridae,Glyceridae,Glyceridae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Glycinde,Glycinde,Goniadidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Gonyaulax,Gonyaulax,Gonyaulacaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Gracilariopsis,Gracilariopsis,Gracilariaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Grammonema,Grammonema,Fragilariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Guinardia,Guinardia,Rhizosoleniaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Guinardia delicatula,Guinardia delicatula,Rhizosoleniaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Halecium sp. BMBM 0902,Halecium,Haleciidae,Hydrozoa,Cnidaria,Animalia,exact_match,NA
Halichondria panicea,Halichondria panicea,Halichondriidae,Demospongiae,Porifera,Animalia,exact_match,Filter feeders
Haminoea,Haminoea,Haminoeidae,Gastropoda,Mollusca,Animalia,exact_match,Benthic invertebrates
Harpacticus,Harpacticus,Harpacticidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Haslea,Haslea,Naviculaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Hataia parva,Hataia parva,Corymorphidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Hecatonema,Hecatonema,Chordariaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Hematodinium sp.,Hematodinium,Syndiniaceae,Dinophyceae,Myzozoa,Chromista,exact_match,NA
Hemiaulus,Hemiaulus,Hemiaulaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Heterocapsa,Heterocapsa,Heterocapsaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Heterocapsa rotundata,Heterocapsa rotundata,Heterocapsaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Heterocapsa triquetra,Heterocapsa triquetra,Heterocapsaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Heterosigma akashiwo,Heterosigma akashiwo,Chattonellaceae,Raphidophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Hildenbrandia sp. 2GWS,Hildenbrandia,Hildenbrandiaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,NA
Hildenbrandia sp. 34GWS,Hildenbrandia,Hildenbrandiaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,NA
Humilaria kennerleyi,Humilaria kennerleyi,Veneridae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Hypomesus pretiosus,Hypomesus pretiosus,Osmeridae,Teleostei,Chordata,Animalia,exact_match,Forage species
Ischyrocerus,Ischyrocerus,Ischyroceridae,Malacostraca,Arthropoda,Animalia,exact_match,Benthic crustaceans
Jassa staudei,Jassa staudei,Ischyroceridae,Malacostraca,Arthropoda,Animalia,exact_match,Benthic crustaceans
Karlodinium veneficum,Karlodinium veneficum,Kareniaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Keenocardium cf. blandum BMBM 0799,Keenocardium,Cardiidae,Bivalvia,Mollusca,Animalia,exact_match,NA
Kirchenpaueria pinnata,Kirchenpaueria pinnata,Kirchenpaueriidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Lacuna vincta,Lacuna vincta,Littorinidae,Gastropoda,Mollusca,Animalia,exact_match,Benthic invertebrates
Lafoea,Lafoea,Lafoeidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Laminariaceae,Laminariaceae,Laminariaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Laonice,Laonice,Spionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Laonice cirrata CMC02,Laonice cirrata,Spionidae,Polychaeta,Annelida,Animalia,exact_match,NA
Lasius pallitarsis,Lasius pallitarsis,NA,NA,NA,NA,error: (204) No Content - Lasius p...,NA
Leodice valens,Leodice valens,Eunicidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Leptocottus armatus,Leptocottus armatus,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Leptothecata,Leptothecata,NA,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Leucocryptos marina,Leucocryptos marina,Katablepharidaceae,Cryptophyta incertae sedis,Cryptophyta,Chromista,exact_match,Primary producers
Littorina,Littorina,Littorinidae,Gastropoda,Mollusca,Animalia,exact_match,Benthic invertebrates
Lumbrineridae,Lumbrineridae,Lumbrineridae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Macoma nasuta,Macoma nasuta,Tellinidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Maculaura alaskensis,Maculaura alaskensis,Lineidae,Pilidiophora,Nemertea,Animalia,exact_match,Benthic invertebrates
Margarites pupillus,Margarites pupillus,Margaritidae,Gastropoda,Mollusca,Animalia,exact_match,Benthic invertebrates
Mazzaella splendens,Mazzaella splendens,Gigartinaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Melosira nummuloides,Melosira nummuloides,Melosiraceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Membranipora,Membranipora,Membraniporidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Membranipora membranacea,Membranipora membranacea,Membraniporidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Metridium,Metridium,Metridiidae,Hexacorallia,Cnidaria,Animalia,exact_match,Benthic invertebrates
Micromonas,Micromonas,Mamiellaceae,Mamiellophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Micromonas pusilla,Micromonas pusilla,Mamiellaceae,Mamiellophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Micropodarke dubia,Micropodarke dubia,Hesionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Minutocellus,Minutocellus,Cymatosiraceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Minutocellus polymorphus,Minutocellus polymorphus,Cymatosiraceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Mitrocoma cellularia,Mitrocoma cellularia,Mitrocomidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Mitrocomella,Mitrocomella,Mitrocomidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Modiolus modiolus,Modiolus modiolus,Modiolidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Myrionema balticum,Myrionema balticum,Chordariaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Mytilus,Mytilus,Mytilidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Navicula,Navicula,Naviculaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Neoamphitrite,Neoamphitrite,Terebellidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Neoporphyra,Neoporphyra,Bangiaceae,Bangiophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Neoporphyra haitanensis,Neoporphyra haitanensis,Bangiaceae,Bangiophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Neoporphyra perforata,Neoporphyra perforata,NA,NA,NA,NA,error: (204) No Content - Neoporph...,NA
Neosabellaria cementarium,Neosabellaria cementarium,Sabellariidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Nereis vexillosa,Nereis vexillosa,Nereididae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Nitzschia,Nitzschia,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Noelaerhabdaceae,Noelaerhabdaceae,Noelaerhabdaceae,Coccolithophyceae,Haptophyta,Chromista,exact_match,Primary producers
Nudibranchia,Nudibranchia,NA,Gastropoda,Mollusca,Animalia,exact_match,Benthic invertebrates
Nusuttodinium,Nusuttodinium,Gymnodiniaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Nutricola,Nutricola,Veneridae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Nuttallia,Nuttallia,Psammobiidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Nuttallia obscurata,Nuttallia obscurata,Psammobiidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Obelia,Obelia,Campanulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Obelia dichotoma,Obelia dichotoma,Campanulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Oithona,Oithona,Oithonidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Oligocottus maculosus,Oligocottus maculosus,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Olpidiopsis,Olpidiopsis,Olpidiopsidaceae,Peronosporea,Oomycota,Chromista,exact_match,Pathogens
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Salmonidae,Teleostei,Chordata,Animalia,exact_match,Apex predators
Oncorhynchus keta,Oncorhynchus keta,Salmonidae,Teleostei,Chordata,Animalia,exact_match,Apex predators
Oncorhynchus nerka,Oncorhynchus nerka,Salmonidae,Teleostei,Chordata,Animalia,exact_match,Apex predators
Ophiopholis,Ophiopholis,Ophiopholidae,Ophiuroidea,Echinodermata,Animalia,exact_match,Benthic invertebrates
Orthopyxis,Orthopyxis,Campanulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Orthopyxis integra,Orthopyxis integra,Campanulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Paleanotus bellis,Paleanotus bellis,Chrysopetalidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Paracalanus,Paracalanus,Paracalanidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Paracalanus sp. C AC-2013,Paracalanus,Paracalanidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Paradactylopodia sp. FHL 1,Paradactylopodia,Dactylopusiidae,Copepoda,Arthropoda,Animalia,exact_match,NA
Paralia sulcata,Paralia sulcata,Paraliaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Paramoeba,Paramoeba,Paramoebidae,Discosea,Amoebozoa,Protozoa,exact_match,Parasites
Parvamoeba rugata,Parvamoeba rugata,Himatismenida incertae sedis,Discosea,Amoebozoa,Protozoa,exact_match,Parasites
Pectinaria californiensis,Pectinaria californiensis,Pectinariidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Pedospumella,Pedospumella,NA,NA,NA,NA,error: (204) No Content - Pedospum...,NA
Percursaria,Percursaria,Ulvaceae,Ulvophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Perophora,Perophora,Perophoridae,Ascidiacea,Chordata,Animalia,exact_match,Filter feeders
Petalonia fascia,Petalonia fascia,Scytosiphonaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Phacellophora camtschatica,Phacellophora camtschatica,Phacellophoridae,Scyphozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Phaeocystis,Phaeocystis,Phaeocystaceae,Coccolithophyceae,Haptophyta,Chromista,exact_match,Primary producers
Phaeostroma sp. 1pustulosum,Phaeostroma,Chordariaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,NA
Phalacroma rotundatum,Phalacroma rotundatum,Oxyphysaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Phoca vitulina,Phoca vitulina,Phocidae,Mammalia,Chordata,Animalia,exact_match,Apex predators
Pholoides asperus,Pholoides asperus,Sigalionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Phyllodocida,Phyllodocida,NA,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Phyllodocida sp. BP2010-002,Phyllodocida,NA,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Platynereis,Platynereis,Nereididae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Platynereis bicanaliculata,Platynereis bicanaliculata,Nereididae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Pleurobrachia bachei,Pleurobrachia bachei,Cydippidae,Tentaculata,Ctenophora,Animalia,exact_match,Gelatinous zooplankton
Pleuronichthys coenosus,Pleuronichthys coenosus,Pleuronectidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Pleurosigma,Pleurosigma,Pleurosigmataceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Plumularia lagenifera,Plumularia lagenifera,Plumulariidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Podosira stelligera,Podosira stelligera,Hyalodiscaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Poecilostomatoida sp. BMBM-0966,Poecilostomatoida,NA,Copepoda,Arthropoda,Animalia,exact_match,NA
Polydora sp. BMBM 0871,Polydora,Spionidae,Polychaeta,Annelida,Animalia,exact_match,NA
Polyneura latissima,Polyneura latissima,Delesseriaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Polynoidae,Polynoidae,Polynoidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Polysiphonia hendryi,Polysiphonia hendryi,Rhodomelaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Prionitis,Prionitis,NA,NA,NA,NA,error: (204) No Content - Prionitis,NA
Prionospio multibranchiata,Prionospio multibranchiata,Spionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Proboscidactyla flavicirrata,Proboscidactyla flavicirrata,Proboscidactylidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Prorocentrum,Prorocentrum,Prorocentraceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Protoperidinium cf. depressum,Protoperidinium,Protoperidiniaceae,Dinophyceae,Myzozoa,Chromista,exact_match,NA
Pseudo-nitzschia,Pseudo-Nitzschia,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,NA
Pseudo-nitzschia americana,Pseudo-Nitzschia americana,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,NA
Pseudo-nitzschia delicatissima,Pseudo-Nitzschia delicatissima,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,NA
Pseudo-nitzschia fryxelliana,Pseudo-Nitzschia fryxelliana,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,NA
Pseudo-nitzschia hasleana,Pseudo-Nitzschia hasleana,Bacillariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,NA
Pseudocalanus,Pseudocalanus,Clausocalanidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Pseudocalanus moultoni,Pseudocalanus moultoni,Clausocalanidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Pseudocalanus newmani,Pseudocalanus newmani,Clausocalanidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Pseudochattonella verruculosa,Pseudochattonella verruculosa,Florenciellales incertae sedis,Dictyochophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Pseudopolydora bassarginensis,Pseudopolydora bassarginensis,Spionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Pseudopolydora paucibranchiata,Pseudopolydora paucibranchiata,Spionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Punctaria occidentalis,Punctaria occidentalis,Chordariaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Pylaiella,Pylaiella,Acinetosporaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Pylaiella washingtoniensis,Pylaiella washingtoniensis,Acinetosporaceae,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Pythium,Pythium,Pythiaceae,Peronosporea,Oomycota,Chromista,exact_match,Pathogens
Ralfsiales,Ralfsiales,NA,Phaeophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Rathkea octopunctata,Rathkea octopunctata,Rathkeidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Rhizogeton cf. nudus BMBM-0908,Rhizogeton,Oceaniidae,Hydrozoa,Cnidaria,Animalia,exact_match,NA
Rhizosolenia setigera,Rhizosolenia setigera,Rhizosoleniaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Sabellariidae,Sabellariidae,Sabellariidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Saprolegnia,Saprolegnia,Saprolegniaceae,Peronosporea,Oomycota,Chromista,exact_match,Pathogens
Sarcodiotheca gaudichaudii,Sarcodiotheca gaudichaudii,Solieriaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Saxidomus,Saxidomus,Veneridae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Saxidomus gigantea,Saxidomus gigantea,Veneridae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Schizobranchia insignis,Schizobranchia insignis,Sabellidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Schizoporella japonica,Schizoporella japonica,Schizoporellidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Schizymenia pacifica,Schizymenia pacifica,Schizymeniaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
