"","OriginalName","CleanedName","Family","Class","Phylum","Kingdom","LookupStatus","TrophicLevel"
"17","Aurelia","Aurelia","Ulmaridae","Scyphozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"18","Aurelia labiata","Aurelia labiata","Ulmaridae","Scyphozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"19","Aureococcus anophagefferens","Aureococcus anophagefferens","Pelagomonadaceae","Pelagophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"20","Balanidae","Balanidae","Balanidae","Thecostraca","Arthropoda","Animalia","exact_match","Filter feeders"
"21","Balanus","Balanus","Balanidae","Thecostraca","Arthropoda","Animalia","exact_match","Filter feeders"
"22","Balanus crenatus","Balanus crenatus","Balanidae","Thecostraca","Arthropoda","Animalia","exact_match","Filter feeders"
"23","Balanus glandula","Balanus glandula","Balanidae","Thecostraca","Arthropoda","Animalia","exact_match","Filter feeders"
"24","Bangiaceae","Bangiaceae","Bangiaceae","Bangiophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"25","Bathycoccus","Bathycoccus","Bathycoccaceae","Mamiellophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"26","Bathycoccus prasinos","Bathycoccus prasinos","Bathycoccaceae","Mamiellophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"27","Boccardia proboscidea","Boccardia proboscidea","Spionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"28","Bolinopsis microptera","Bolinopsis microptera","Bolinopsidae","Tentaculata","Ctenophora","Animalia","exact_match","Gelatinous zooplankton"
"29","Boltenia","Boltenia","Pyuridae","Ascidiacea","Chordata","Animalia","exact_match","Filter feeders"
"30","Boltenia villosa","Boltenia villosa","Pyuridae","Ascidiacea","Chordata","Animalia","exact_match","Filter feeders"
"31","Bomolochus cuneatus","Bomolochus cuneatus","Bomolochidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"32","Bougainvillia","Bougainvillia","Bougainvilliidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"33","Bougainvillia muscus","Bougainvillia muscus","Bougainvilliidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"34","Calanoida","Calanoida",NA,"Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"35","Calanus pacificus","Calanus pacificus","Calanidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"36","Callophyllis edentata","Callophyllis edentata","Kallymeniaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"37","Calycella syringa","Calycella syringa","Campanulinidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"38","Campanulariidae sp. BMBM-0904","Campanulariidae","Campanulariidae","Hydrozoa","Cnidaria","Animalia","exact_match",NA
"39","Carinoma sp. 5 TCH-2015","Carinoma","Carinomidae","Palaeonemertea","Nemertea","Animalia","exact_match",NA
"40","Caulacanthus","Caulacanthus","Caulacanthaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"41","Celleporella hyalina","Celleporella hyalina","Hippothoidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"42","Cerebratulus sp. spade head","Cerebratulus","Lineidae","Pilidiophora","Nemertea","Animalia","exact_match",NA
"43","Chaetoceros","Chaetoceros","Chaetocerotaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"44","Chaetoceros diadema","Chaetoceros diadema","Chaetocerotaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"45","Chaetoceros socialis","Chaetoceros socialis","Chaetocerotaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"46","Chelophyes appendiculata","Chelophyes appendiculata","Diphyidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"47","Chelyosoma productum","Chelyosoma productum","Corellidae","Ascidiacea","Chordata","Animalia","exact_match","Filter feeders"
"48","Chlamys","Chlamys","Pectinidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"49","Chloroparvula pacifica","Chloroparvula pacifica","Chloropicaceae","Chloropicophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"50","Chondracanthus","Chondracanthus","Chondracanthidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"51","Chone","Chone","Sabellidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"52","Chordariaceae","Chordariaceae","Chordariaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"53","Cliona californiana","Cliona californiana","Clionaidae","Demospongiae","Porifera","Animalia","exact_match","Filter feeders"
"54","Clupea pallasii","Clupea pallasii","Clupeidae","Teleostei","Chordata","Animalia","exact_match","Forage species"
"55","Clytia gregaria","Clytia gregaria","Campanulariidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"56","Cocconeiopsis","Cocconeiopsis",NA,"Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"57","Compsomyax","Compsomyax","Veneridae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"58","Compsomyax subdiaphana","Compsomyax subdiaphana","Veneridae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"59","Coryne eximia","Coryne eximia","Corynidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"60","Coscinodiscus granii","Coscinodiscus granii","Coscinodiscaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"61","Crisularia pacifica","Crisularia pacifica","Bugulidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"62","Cylindrotheca","Cylindrotheca","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"63","Cylindrotheca closterium","Cylindrotheca closterium","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"64","Cymbomonas","Cymbomonas","Pyramimonadaceae","Pyramimonadophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"65","Cymbomonas tetramitiformis","Cymbomonas tetramitiformis","Pyramimonadaceae","Pyramimonadophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"66","Devaleraea mollis","Devaleraea mollis",NA,NA,NA,NA,"error: (204) No Content - Devalera...",NA
"67","Dictyocha speculum","Dictyocha speculum","Dictyochaceae","Dictyochophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"68","Dinophysis","Dinophysis","Dinophysaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"69","Dinophysis norvegica","Dinophysis norvegica","Dinophysaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"70","Diopatra","Diopatra","Onuphidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"71","Diosaccus spinatus","Diosaccus spinatus","Miraciidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"72","Ditylum brightwellii","Ditylum brightwellii","Lithodesmiaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"73","Dorvilleidae","Dorvilleidae","Dorvilleidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"74","Dumontiaceae","Dumontiaceae","Dumontiaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"75","Durinskia baltica","Durinskia baltica","Kryptoperidiniaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"76","Epilabidocera amphitrites","Epilabidocera amphitrites","Pontellidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"77","Eucampia","Eucampia","Hemiaulaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"78","Eucampia zodiacus","Eucampia zodiacus","Hemiaulaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"79","Eumida","Eumida","Phyllodocidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"80","Eumida longicornuta","Eumida longicornuta","Phyllodocidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"81","Eupentacta pseudoquinquesemita","Eupentacta pseudoquinquesemita","Sclerodactylidae","Holothuroidea","Echinodermata","Animalia","exact_match","Benthic invertebrates"
"82","Florenciella","Florenciella","Epigonidae","Teleostei","Chordata","Animalia","exact_match","Mesopredators"
"83","Fucus","Fucus","Fucaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"84","Glycera americana","Glycera americana","Glyceridae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"85","Glycera robusta","Glycera robusta","Glyceridae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"86","Glyceridae","Glyceridae","Glyceridae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"87","Glycinde","Glycinde","Goniadidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"88","Gonyaulax","Gonyaulax","Gonyaulacaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"89","Gracilariopsis","Gracilariopsis","Gracilariaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"90","Grammonema","Grammonema","Fragilariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"91","Guinardia","Guinardia","Rhizosoleniaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"92","Guinardia delicatula","Guinardia delicatula","Rhizosoleniaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"93","Halecium sp. BMBM 0902","Halecium","Haleciidae","Hydrozoa","Cnidaria","Animalia","exact_match",NA
"94","Halichondria panicea","Halichondria panicea","Halichondriidae","Demospongiae","Porifera","Animalia","exact_match","Filter feeders"
"95","Haminoea","Haminoea","Haminoeidae","Gastropoda","Mollusca","Animalia","exact_match","Benthic invertebrates"
"96","Harpacticus","Harpacticus","Harpacticidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"97","Haslea","Haslea","Naviculaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"98","Hataia parva","Hataia parva","Corymorphidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"99","Hecatonema","Hecatonema","Chordariaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"100","Hematodinium sp.","Hematodinium","Syndiniaceae","Dinophyceae","Myzozoa","Chromista","exact_match",NA
"101","Hemiaulus","Hemiaulus","Hemiaulaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"102","Heterocapsa","Heterocapsa","Heterocapsaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"103","Heterocapsa rotundata","Heterocapsa rotundata","Heterocapsaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"104","Heterocapsa triquetra","Heterocapsa triquetra","Heterocapsaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"105","Heterosigma akashiwo","Heterosigma akashiwo","Chattonellaceae","Raphidophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"106","Hildenbrandia sp. 2GWS","Hildenbrandia","Hildenbrandiaceae","Florideophyceae","Rhodophyta","Plantae","exact_match",NA
"107","Hildenbrandia sp. 34GWS","Hildenbrandia","Hildenbrandiaceae","Florideophyceae","Rhodophyta","Plantae","exact_match",NA
"108","Humilaria kennerleyi","Humilaria kennerleyi","Veneridae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"109","Hypomesus pretiosus","Hypomesus pretiosus","Osmeridae","Teleostei","Chordata","Animalia","exact_match","Forage species"
"110","Ischyrocerus","Ischyrocerus","Ischyroceridae","Malacostraca","Arthropoda","Animalia","exact_match","Benthic crustaceans"
"111","Jassa staudei","Jassa staudei","Ischyroceridae","Malacostraca","Arthropoda","Animalia","exact_match","Benthic crustaceans"
"112","Karlodinium veneficum","Karlodinium veneficum","Kareniaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"113","Keenocardium cf. blandum BMBM 0799","Keenocardium","Cardiidae","Bivalvia","Mollusca","Animalia","exact_match",NA
"114","Kirchenpaueria pinnata","Kirchenpaueria pinnata","Kirchenpaueriidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"115","Lacuna vincta","Lacuna vincta","Littorinidae","Gastropoda","Mollusca","Animalia","exact_match","Benthic invertebrates"
"116","Lafoea","Lafoea","Lafoeidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"117","Laminariaceae","Laminariaceae","Laminariaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"118","Laonice","Laonice","Spionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"119","Laonice cirrata CMC02","Laonice cirrata","Spionidae","Polychaeta","Annelida","Animalia","exact_match",NA
"120","Lasius pallitarsis","Lasius pallitarsis",NA,NA,NA,NA,"error: (204) No Content - Lasius p...",NA
"121","Leodice valens","Leodice valens","Eunicidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"122","Leptocottus armatus","Leptocottus armatus","Cottidae","Teleostei","Chordata","Animalia","exact_match","Mesopredators"
"123","Leptothecata","Leptothecata",NA,"Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"124","Leucocryptos marina","Leucocryptos marina","Katablepharidaceae","Cryptophyta incertae sedis","Cryptophyta","Chromista","exact_match","Primary producers"
"125","Littorina","Littorina","Littorinidae","Gastropoda","Mollusca","Animalia","exact_match","Benthic invertebrates"
"126","Lumbrineridae","Lumbrineridae","Lumbrineridae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"127","Macoma nasuta","Macoma nasuta","Tellinidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"128","Maculaura alaskensis","Maculaura alaskensis","Lineidae","Pilidiophora","Nemertea","Animalia","exact_match","Benthic invertebrates"
"129","Margarites pupillus","Margarites pupillus","Margaritidae","Gastropoda","Mollusca","Animalia","exact_match","Benthic invertebrates"
"130","Mazzaella splendens","Mazzaella splendens","Gigartinaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"131","Melosira nummuloides","Melosira nummuloides","Melosiraceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"132","Membranipora","Membranipora","Membraniporidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"133","Membranipora membranacea","Membranipora membranacea","Membraniporidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"134","Metridium","Metridium","Metridiidae","Hexacorallia","Cnidaria","Animalia","exact_match","Benthic invertebrates"
"135","Micromonas","Micromonas","Mamiellaceae","Mamiellophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"136","Micromonas pusilla","Micromonas pusilla","Mamiellaceae","Mamiellophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"137","Micropodarke dubia","Micropodarke dubia","Hesionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"138","Minutocellus","Minutocellus","Cymatosiraceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"139","Minutocellus polymorphus","Minutocellus polymorphus","Cymatosiraceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"140","Mitrocoma cellularia","Mitrocoma cellularia","Mitrocomidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"141","Mitrocomella","Mitrocomella","Mitrocomidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"142","Modiolus modiolus","Modiolus modiolus","Modiolidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"143","Myrionema balticum","Myrionema balticum","Chordariaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"144","Mytilus","Mytilus","Mytilidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"145","Navicula","Navicula","Naviculaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"146","Neoamphitrite","Neoamphitrite","Terebellidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"147","Neoporphyra","Neoporphyra","Bangiaceae","Bangiophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"148","Neoporphyra haitanensis","Neoporphyra haitanensis","Bangiaceae","Bangiophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"149","Neoporphyra perforata","Neoporphyra perforata",NA,NA,NA,NA,"error: (204) No Content - Neoporph...",NA
"150","Neosabellaria cementarium","Neosabellaria cementarium","Sabellariidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"151","Nereis vexillosa","Nereis vexillosa","Nereididae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"152","Nitzschia","Nitzschia","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"153","Noelaerhabdaceae","Noelaerhabdaceae","Noelaerhabdaceae","Coccolithophyceae","Haptophyta","Chromista","exact_match","Primary producers"
"154","Nudibranchia","Nudibranchia",NA,"Gastropoda","Mollusca","Animalia","exact_match","Benthic invertebrates"
"155","Nusuttodinium","Nusuttodinium","Gymnodiniaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"156","Nutricola","Nutricola","Veneridae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"157","Nuttallia","Nuttallia","Psammobiidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"158","Nuttallia obscurata","Nuttallia obscurata","Psammobiidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"159","Obelia","Obelia","Campanulariidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"160","Obelia dichotoma","Obelia dichotoma","Campanulariidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"161","Oithona","Oithona","Oithonidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"162","Oligocottus maculosus","Oligocottus maculosus","Cottidae","Teleostei","Chordata","Animalia","exact_match","Mesopredators"
"163","Olpidiopsis","Olpidiopsis","Olpidiopsidaceae","Peronosporea","Oomycota","Chromista","exact_match","Pathogens"
"164","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Salmonidae","Teleostei","Chordata","Animalia","exact_match","Apex predators"
"165","Oncorhynchus keta","Oncorhynchus keta","Salmonidae","Teleostei","Chordata","Animalia","exact_match","Apex predators"
"166","Oncorhynchus nerka","Oncorhynchus nerka","Salmonidae","Teleostei","Chordata","Animalia","exact_match","Apex predators"
"167","Ophiopholis","Ophiopholis","Ophiopholidae","Ophiuroidea","Echinodermata","Animalia","exact_match","Benthic invertebrates"
"168","Orthopyxis","Orthopyxis","Campanulariidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"169","Orthopyxis integra","Orthopyxis integra","Campanulariidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"170","Paleanotus bellis","Paleanotus bellis","Chrysopetalidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"171","Paracalanus","Paracalanus","Paracalanidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"172","Paracalanus sp. C AC-2013","Paracalanus","Paracalanidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"173","Paradactylopodia sp. FHL 1","Paradactylopodia","Dactylopusiidae","Copepoda","Arthropoda","Animalia","exact_match",NA
"174","Paralia sulcata","Paralia sulcata","Paraliaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"175","Paramoeba","Paramoeba","Paramoebidae","Discosea","Amoebozoa","Protozoa","exact_match","Parasites"
"176","Parvamoeba rugata","Parvamoeba rugata","Himatismenida incertae sedis","Discosea","Amoebozoa","Protozoa","exact_match","Parasites"
"177","Pectinaria californiensis","Pectinaria californiensis","Pectinariidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"178","Pedospumella","Pedospumella",NA,NA,NA,NA,"error: (204) No Content - Pedospum...",NA
"179","Percursaria","Percursaria","Ulvaceae","Ulvophyceae","Chlorophyta","Plantae","exact_match","Primary producers"
"180","Perophora","Perophora","Perophoridae","Ascidiacea","Chordata","Animalia","exact_match","Filter feeders"
"181","Petalonia fascia","Petalonia fascia","Scytosiphonaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"182","Phacellophora camtschatica","Phacellophora camtschatica","Phacellophoridae","Scyphozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"183","Phaeocystis","Phaeocystis","Phaeocystaceae","Coccolithophyceae","Haptophyta","Chromista","exact_match","Primary producers"
"184","Phaeostroma sp. 1pustulosum","Phaeostroma","Chordariaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match",NA
"185","Phalacroma rotundatum","Phalacroma rotundatum","Oxyphysaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"186","Phoca vitulina","Phoca vitulina","Phocidae","Mammalia","Chordata","Animalia","exact_match","Apex predators"
"187","Pholoides asperus","Pholoides asperus","Sigalionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"188","Phyllodocida","Phyllodocida",NA,"Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"189","Phyllodocida sp. BP2010-002","Phyllodocida",NA,"Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"190","Platynereis","Platynereis","Nereididae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"191","Platynereis bicanaliculata","Platynereis bicanaliculata","Nereididae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"192","Pleurobrachia bachei","Pleurobrachia bachei","Cydippidae","Tentaculata","Ctenophora","Animalia","exact_match","Gelatinous zooplankton"
"193","Pleuronichthys coenosus","Pleuronichthys coenosus","Pleuronectidae","Teleostei","Chordata","Animalia","exact_match","Mesopredators"
"194","Pleurosigma","Pleurosigma","Pleurosigmataceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"195","Plumularia lagenifera","Plumularia lagenifera","Plumulariidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"196","Podosira stelligera","Podosira stelligera","Hyalodiscaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"197","Poecilostomatoida sp. BMBM-0966","Poecilostomatoida",NA,"Copepoda","Arthropoda","Animalia","exact_match",NA
"198","Polydora sp. BMBM 0871","Polydora","Spionidae","Polychaeta","Annelida","Animalia","exact_match",NA
"199","Polyneura latissima","Polyneura latissima","Delesseriaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"200","Polynoidae","Polynoidae","Polynoidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"201","Polysiphonia hendryi","Polysiphonia hendryi","Rhodomelaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"202","Prionitis","Prionitis",NA,NA,NA,NA,"error: (204) No Content - Prionitis",NA
"203","Prionospio multibranchiata","Prionospio multibranchiata","Spionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"204","Proboscidactyla flavicirrata","Proboscidactyla flavicirrata","Proboscidactylidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"205","Prorocentrum","Prorocentrum","Prorocentraceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"206","Protoperidinium cf. depressum","Protoperidinium","Protoperidiniaceae","Dinophyceae","Myzozoa","Chromista","exact_match",NA
"207","Pseudo-nitzschia","Pseudo-Nitzschia","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match",NA
"208","Pseudo-nitzschia americana","Pseudo-Nitzschia americana","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match",NA
"209","Pseudo-nitzschia delicatissima","Pseudo-Nitzschia delicatissima","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match",NA
"210","Pseudo-nitzschia fryxelliana","Pseudo-Nitzschia fryxelliana","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match",NA
"211","Pseudo-nitzschia hasleana","Pseudo-Nitzschia hasleana","Bacillariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match",NA
"212","Pseudocalanus","Pseudocalanus","Clausocalanidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"213","Pseudocalanus moultoni","Pseudocalanus moultoni","Clausocalanidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"214","Pseudocalanus newmani","Pseudocalanus newmani","Clausocalanidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"215","Pseudochattonella verruculosa","Pseudochattonella verruculosa","Florenciellales incertae sedis","Dictyochophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"216","Pseudopolydora bassarginensis","Pseudopolydora bassarginensis","Spionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"217","Pseudopolydora paucibranchiata","Pseudopolydora paucibranchiata","Spionidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"218","Punctaria occidentalis","Punctaria occidentalis","Chordariaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"219","Pylaiella","Pylaiella","Acinetosporaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
